Palabra,IDF_Colima,IDF_Yucatán,IDF_Morelos,IDF_QR,IDF_Jalisco,IDF_Guerrero,IDF_Tamaulipas,IDF_Chiapas,IDF_BCS,IDF_Veracruz,IDF_NL,IDF_Guanajuato,IDF_Puebla,IDF_Tabasco,IDF_Mexico_City,IDF_Sonora,IDF_Mexico,IDF_Oaxaca,IDF_Coahuila,IDF_Michoacán,IDF_Sinaloa,IDF_Querétaro,IDF_Durango,IDF_Zacatecas,IDF_Chihuahua,IDF_Hidalgo,IDF_BC,IDF_Campeche,IDF_Tlaxcala,IDF_SLP,IDF_Aguascalientes,IDF_Nayarit
libertad,6.943455327921622,7.837007622006064,7.138782412526315,7.526964375563673,7.388339405322718,6.949306189967358,7.679123723108308,7.391855072880127,7.893543659499119,7.388075309896741,7.745548243799275,7.222470442366206,7.296733408343914,7.849020175249351,7.409848035866464,7.5583368558612305,7.310075911624105,7.279731126121869,7.965135890356607,7.36223203079045,7.640180798213416,7.272877006546167,7.275891326839091,6.931093430892136,8.016240319987427,7.659614381150889,7.114668759034199,6.985922904742994,7.70808408385307,7.4896460537439395,6.595133730412695,7.376726947898627
ven,6.337319524351306,6.091768168412902,6.3604774236260635,6.373292309712536,6.356924655522885,6.194027228300406,6.1720478233357765,6.680358753651986,6.453182077108952,6.273526428965819,6.303991204004335,6.452362220670133,6.4263797716567845,6.4627258141294615,6.3437829987648495,6.366198509182298,6.199969243530261,6.539331060711379,6.593656615021858,6.329869127663541,6.377939085763504,6.255068750293354,6.510423484699519,6.696692725053292,6.2644861853730704,6.443219056826396,6.252103426516206,6.192692265626066,6.420229795546431,6.214103056916752,6.220440280971285,6.460436216024472
pueda,7.231137400373402,7.174632100112873,7.231872835592327,7.090537041851541,7.163938782818457,7.3170309700926754,7.246990367917982,7.191184377417977,7.451710907220079,6.970634010741861,7.139412440228959,7.335265936511551,6.884488613250371,6.977181205946031,7.0000256223893444,7.133453661895965,7.097391491100033,7.279731126121869,7.466144724237619,7.036809630355822,7.457859241419461,7.097428329039975,7.327184621226641,7.375024819828097,7.135881597339335,7.064907273404196,7.460414632440741,7.157773161669653,6.7430031878094825,6.972389539647659,7.334800926607534,7.1143626834311355
favor,5.844843039253512,5.976928908800533,5.730509144687649,5.858901619782048,5.799232561672201,6.017747985962415,6.091544604486706,5.657254017492021,6.013230792929618,5.8536725834055545,5.714612815725961,5.7779071731223395,5.605057397672841,5.860550411775242,5.553618279269757,5.888043667705856,5.511595341722973,5.960128139500651,6.2236382559094405,5.919848203019515,5.826442422266585,5.655253509525628,5.760764093876231,5.832481142224026,6.285105472575806,5.966294984736086,6.112906296356007,6.059160873001543,5.916324614625014,5.842228893244623,5.9726041170667035,5.965739974188365
tan,5.021642730445368,5.165998692584203,5.042811568895269,5.132505532263883,5.062136060980464,5.04071380391924,5.2569554139537304,5.063674432697118,4.943273760021885,5.049983528445786,5.1434198830959845,5.007624263680167,5.182200546852807,5.123728167712636,5.078425136484572,5.047622322117358,5.075039646544777,5.275639021683821,5.174331728225485,5.033079910411682,5.065027270577637,5.12398607659446,5.221767593143544,5.1976028697880565,4.963349632593486,5.047708040601581,5.113188758824075,5.194163435514938,5.244230843262901,5.040310869740807,4.928284910765257,5.114963849424837
haber,6.292867761780472,6.571341248674789,6.885001891750216,6.629721838660212,6.573921219054671,6.700844830668858,6.438011371832915,6.318244086417435,6.0477169690007875,6.5811692439801375,6.425814649197723,6.4773635228755495,6.520408721305061,6.541863134688185,6.496180829764693,6.459724567193121,6.549864500483614,6.6532753200605965,6.655214508021291,6.594976878076783,6.416405366591301,6.672987319472805,6.442982203903986,6.711730602417832,6.480005811576621,6.500377470666344,6.55285758053534,6.839319430551119,6.652031409603755,6.457725139574502,6.7157617182013105,6.213576138092946
creer,6.789304648094363,7.273072172926126,7.613240392121431,7.140547462426203,7.2810938749691205,7.840279113857223,7.5058520018342705,7.286494557222301,6.794931370831009,7.263621135423335,7.257712138257983,7.157931921228635,7.276530701026394,7.400995452722391,7.414224410466263,7.4828293033530855,7.270410655231674,7.4178814646026865,7.579473409544622,7.2191311871497765,7.327806113171263,7.520285179860008,7.327184621226641,7.569180834269054,7.294105602554229,6.93569554192419,7.377033023501689,6.985922904742994,7.389630352734534,7.234753804115149,7.488951606434792,7.482087463556454
rumbo,7.482451828654308,7.778167121983131,7.726569077428434,7.526964375563673,7.793804513430882,7.840279113857223,8.111987805404587,7.691959665330466,7.893543659499119,7.6797815326482475,7.624403860440187,7.668757544994626,7.662193181838379,7.550527186693356,7.696075562607251,7.683499998815237,8.106658679432293,7.346422500620542,7.579473409544622,7.62459629525794,8.04564590632158,8.344460622826357,6.975786734388752,7.1637157261608895,8.210396334428385,7.29670888746152,8.030959490908355,7.627776790915388,7.014936903293124,8.033261500332921,7.546110020274741,7.194405391104672
político,7.636602508481567,7.5493255495542835,6.786561818936963,7.386382424942483,7.466811020764213,7.477373620167855,7.528841520058969,6.736448220303029,8.011326695155502,7.4124667630209,8.023179980397554,7.381075472542845,7.163202015719391,7.652309881003298,7.277135755915726,7.618961477677666,6.661249130744822,7.2479824278072895,7.707306781054507,7.0649805073225185,7.234715690105252,7.343828742518452,6.870426218730926,7.009565046333631,7.482157834057168,7.387680665667247,7.678138116285611,7.097148539853218,7.590301048196686,7.234753804115149,7.012027534344483,6.634789603169249
pesos,6.789304648094363,7.016027069936234,6.6969496602472764,6.591981510677365,6.565599395717178,6.642575922544882,6.835694339499025,6.903502304966196,6.453182077108952,6.763490800774092,6.799404548775438,6.627303670166465,6.67769419993769,6.553697592335188,6.7682240083320195,6.599813360363803,6.7763921497820645,7.050156684477369,6.704004672190723,6.770180967101873,6.598726923385255,6.743054882089521,7.227101162669658,6.557579922590574,6.87916175049152,7.254149273042724,6.5268820941320795,6.496374679424288,6.954312281476689,5.974873367850917,6.9453361598458105,6.543817824963523
