Palabra,Promedio_IDF,STD_IDF,valor_max,Estado_max,Colima,Yucatán,Morelos,QR,Jalisco,Guerrero,Tamaulipas,Chiapas,BCS,Veracruz,NL,Guanajuato,Puebla,Tabasco,Mexico_City,Sonora,Mexico,Oaxaca,Coahuila,Michoacán,Sinaloa,Querétaro,Durango,Zacatecas,Chihuahua,Hidalgo,BC,Campeche,Tlaxcala,SLP,Aguascalientes,Nayarit
buenas,5.856103514298199,0.23005400253472807,2.9825302528101654,Puebla,0.9212235743424874,-0.3641932846151481,0.7983263431271374,-0.8450859407322753,-0.2864493619107716,-1.6289118337263215,-0.000939422473471695,0.3523801379528543,-0.53809478209422,0.7842249389282673,-0.6153479830184897,0.2848806957576932,2.9825302528101654,-1.304463892266774,-0.03819497903472847,-0.7032622724808274,2.0108762792121055,1.481748681619004,-0.06516745978004178,0.8021370366576386,-0.6165923961123547,-0.6537807212205218,-0.6035711856735292,-0.6409018255306829,-0.8948264524644456,-0.9536489693099812,-0.47789881628611147,1.4978319628816075,-0.7399219038384186,0.005974502830642893,-0.2491229482935112,0.29824202474284517
programa,6.988771715270951,0.3040340293225351,1.9313497323486453,Zacatecas,0.4123192897262107,-1.170130272687047,0.044793428409258464,-0.29484846235138557,-0.15766949872857303,-1.7532697529138974,-0.7358797206825636,0.7660504635938019,1.2975884337064618,-1.1965664073179962,-0.19684844246491429,0.9377077525011803,0.8563594783596997,-0.8488295149040866,0.052329740384261025,1.0488654608860748,0.24497354526480838,-1.291770220708486,-0.8361875090724098,-0.06788365415129904,-0.397260899213896,0.5888336219523551,1.2521945712979365,1.9313497323486453,-0.8215002665491254,-0.738586939599773,-0.8460666274677057,1.1651547629559666,1.381825302721488,0.9362312595476096,0.44668972041969157,-2.009968375262364
youtube,7.629915761720086,0.4113096577007191,4.637374829726737,Guerrero,0.9695331823130837,-0.9913760791020155,-0.7775087723693848,-0.9764045581643044,-0.2215590996277467,4.637374829726737,-0.4726122219434098,-0.5459702414076382,-1.2519577802732405,-0.12123656713270174,-0.2811324264195304,0.2803457064376061,-0.9764845441012804,0.2702034130746754,-0.2325752957482656,-0.0768407203299196,-0.19416406058119876,-0.09550014308705763,-0.6760398390618364,0.5554525975720964,0.2067667065889234,-0.4187126829057427,-0.006444072022412675,0.39512230923404934,0.6733847697406969,-0.2291148257864251,0.6629685454966628,-0.2509582328558798,0.5841958837747252,-0.08660374931783492,-0.10055052375831516,-0.2516015079630664
saludos,5.2966604079214985,0.22272838225456296,1.8731560996343344,Coahuila,-0.4774868742656414,-0.6026238811193535,0.6612235715065378,-0.839052137225611,0.13511001339902112,-0.45468686810993747,0.06928599514507983,-0.48412241463564276,1.372786870785502,0.22796895308429996,1.0230835209996425,0.8297421407764579,1.8686668432799718,-2.197101900699286,-0.9194064036277003,0.21874708691334369,0.8825659611624338,0.3963285341243793,1.8731560996343344,-0.8434925173813274,-1.1669857062327451,-0.598388025034384,0.42177386104875064,-1.264836364960308,0.4790092693060516,1.25964057160255,1.2167404927924685,0.0046132972874822235,-0.6602651816042208,-0.09505202613735021,-1.7982967650142525,-0.5386460168005864
datos,7.2273998226134815,0.2969759826936688,2.2538802055758906,Durango,0.9561193875558249,-0.03963552382316308,0.6531771491605147,0.24900651790299652,0.3137162586815704,-0.061190751293154766,-1.343812935273813,0.12194738735105418,0.9163225902614205,-1.1146384634475537,-0.6263623895641853,0.14866553517257874,-0.03337025832777107,-1.3126271526834024,1.2468408560134696,0.4434247089812604,0.4690976115717118,-0.5189443146899176,0.8677199494464266,-0.5860841666438252,-0.8708795015233719,0.6982320769111392,2.2538802055758906,0.4467599256213259,-1.6383803871537268,-0.5397097825890372,-0.24470719515066408,-1.702957523273532,-2.068233425117325,0.37184506690772706,1.260832541077635,1.2839460023618732
dejar,6.597231780798172,0.12964783948269246,2.5665340568172113,Chihuahua,0.8739735479364996,0.7713086826291018,-3.3644225604588396,-0.5531196763590839,0.41258827842351425,0.07493866056760491,-0.08236641561285599,0.40628959584227964,0.6940530808533548,0.28801047062803936,0.17987928510763943,-0.5799736034845407,-0.4945187007651454,0.24341321492272894,-0.11471878893826815,-0.19588646778177157,-0.15192656001504562,-0.17078562724293866,-0.5706463668408175,-1.1716028412964543,1.242009026553717,0.8412723943001019,1.0202304234546697,-0.212016218239409,2.5665340568172113,-0.21835175144555696,0.8653965777545451,0.7779312156401034,-1.124364336443653,-0.27722819312635955,-0.9142453732826155,-1.0616550300973997
piel,7.779090191578154,0.261300876013966,2.2113230786270286,Aguascalientes,2.097018577065409,0.31825828179600213,0.35109651640853146,-0.8482885302662035,-0.6402347822171243,1.47377301685268,-0.9676772233223642,1.6211302821895681,-1.9897314695620858,1.1085396721197498,-0.5693804448138285,0.8730000668949923,0.15508570645984207,-0.6157719956067973,0.08846693414299404,-1.4499292639644557,-0.7919625193084427,0.9315915623110018,-0.49325240276506294,-0.5097119388319579,-0.48524051776041655,-0.5612690574454091,0.5607479126572077,0.2133887889409983,-0.6888293576164776,-0.337402444629642,-0.5459989631170713,-0.2748944119406829,0.27174079478129803,-1.1914606921489057,2.2113230786270286,0.6858748240696247
dice,5.68014033917696,0.17459555653295705,1.7882549717399139,Colima,1.7882549717399139,-0.10644738901374365,1.18540308047721,0.0677546892159306,0.29559058833179946,-0.373394648518191,-0.370707327158078,0.20546638141377208,-1.5320731900548255,0.26925384768703253,0.6233099893848881,-0.19369398635710897,0.120368013087868,0.5371766119288821,0.6201418225851929,-0.1149054357953046,0.882536287512399,-0.5265630503225192,-1.5694661090962365,0.9145604926038654,0.7785443529826168,0.9673388244272833,0.020828645302793842,-0.625773181633812,0.13541883019837736,-0.7279105691641654,0.6940846355263579,-0.7049844917682551,-3.675061360654386,-0.16356178822769407,0.9642365971083979,-0.38572613374999676
vayan,7.346587860918068,0.25649097127448267,2.292572449377421,BCS,1.5717221194699904,0.4187954029487931,-0.5190090626479865,0.03202707339415072,0.3208732995800263,1.1270107671787495,-0.2816971044538341,-1.15630440623027,2.292572449377421,-0.3052794478975874,0.9500943930046643,-0.19585862357375575,-0.9008033762131659,-0.3219546807464387,0.1879023878986778,0.12013148874224522,-0.4399115442453898,-2.0816215205538886,-0.19713751162994964,1.3145772854106883,-0.22302601509470243,0.545673164313154,-0.13514698551222307,-0.3472308607352676,-0.14476104223611616,2.15200915069675,-0.6170920298170082,-1.0962917275415796,-0.5394056209204129,0.5322864532614937,0.04595457786278156,-2.109098453089947
juega,7.712823734356362,0.3297289875683773,2.0694481079059135,Colima,2.0694481079059135,-1.2186238984058237,-1.2113215366035421,-0.2897928427529621,0.4878397451133556,-1.2590262536943437,-1.0867775962635324,0.7400247765280402,-0.9052979023788074,-1.3057103058555026,2.014391876356334,1.5669553475348759,0.01671104890761386,1.1884638720950884,-0.46708833147959,-1.6937028602775854,-0.292917593688878,-0.6924046190010166,0.2806193382445505,0.6914447624241733,-0.7203248762338179,0.6885191752224789,0.01865013892217097,-0.4368410961581082,0.2494348337022212,-0.24360017604576942,0.630691711027264,-0.823791691779693,1.4868194328329358,0.36816595106702876,0.678957981742943,-0.5299165190079667
